Starting Q-learning controller with interval=5s
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=31.03; Q=6.205; epsilon=0.200
State=(1, 1, 4, 'balanced'); profile=protected; reward=30.65; Q=6.129; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.16; Q=6.232; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.17; Q=12.340; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=18.324; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.17; Q=24.191; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=29.937; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.17; Q=35.572; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=41.091; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.16; Q=46.501; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=51.801; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.16; Q=56.997; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.16; Q=62.089; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=67.077; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.17; Q=71.969; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=76.759; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.16; Q=81.455; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.15; Q=86.056; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=31.17; Q=90.568; epsilon=0.200
