Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 59942
[  5] local 192.168.5.2 port 5201 connected to 192.168.4.2 port 39513
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.31 MBytes  19.4 Mbits/sec  0.179 ms  43/1716 (2.5%)  
[  5]   1.00-2.00   sec  2.08 MBytes  17.4 Mbits/sec  0.171 ms  223/1729 (13%)  
[  5]   2.00-3.00   sec  2.08 MBytes  17.4 Mbits/sec  0.171 ms  221/1726 (13%)  
[  5]   3.00-4.00   sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  220/1725 (13%)  
[  5]   4.00-5.00   sec  2.08 MBytes  17.4 Mbits/sec  0.209 ms  223/1728 (13%)  
[  5]   5.00-6.00   sec  2.08 MBytes  17.4 Mbits/sec  0.156 ms  221/1727 (13%)  
[  5]   6.00-7.00   sec  2.08 MBytes  17.4 Mbits/sec  0.181 ms  220/1723 (13%)  
[  5]   7.00-8.00   sec  2.08 MBytes  17.4 Mbits/sec  0.141 ms  221/1727 (13%)  
[  5]   8.00-9.00   sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  223/1730 (13%)  
[  5]   9.00-10.00  sec  2.08 MBytes  17.4 Mbits/sec  0.178 ms  220/1723 (13%)  
[  5]  10.00-11.00  sec  2.08 MBytes  17.4 Mbits/sec  0.143 ms  221/1727 (13%)  
[  5]  11.00-12.00  sec  2.08 MBytes  17.4 Mbits/sec  0.205 ms  223/1729 (13%)  
[  5]  12.00-13.00  sec  2.08 MBytes  17.4 Mbits/sec  0.221 ms  220/1724 (13%)  
[  5]  13.00-14.00  sec  2.08 MBytes  17.4 Mbits/sec  0.158 ms  221/1726 (13%)  
[  5]  14.00-15.00  sec  2.08 MBytes  17.4 Mbits/sec  0.174 ms  223/1729 (13%)  
[  5]  15.00-16.00  sec  2.08 MBytes  17.4 Mbits/sec  0.257 ms  220/1723 (13%)  
[  5]  16.00-17.00  sec  2.08 MBytes  17.4 Mbits/sec  0.150 ms  221/1727 (13%)  
[  5]  17.00-18.00  sec  2.08 MBytes  17.4 Mbits/sec  0.178 ms  223/1730 (13%)  
[  5]  18.00-19.00  sec  2.08 MBytes  17.4 Mbits/sec  0.205 ms  220/1723 (13%)  
[  5]  19.00-20.00  sec  2.08 MBytes  17.4 Mbits/sec  0.149 ms  221/1727 (13%)  
[  5]  20.00-21.00  sec  2.08 MBytes  17.4 Mbits/sec  0.175 ms  223/1730 (13%)  
[  5]  21.00-22.00  sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  221/1724 (13%)  
[  5]  22.00-23.00  sec  2.08 MBytes  17.4 Mbits/sec  0.153 ms  220/1725 (13%)  
[  5]  23.00-24.00  sec  2.08 MBytes  17.4 Mbits/sec  0.184 ms  223/1729 (13%)  
[  5]  24.00-25.00  sec  2.08 MBytes  17.4 Mbits/sec  0.164 ms  221/1726 (13%)  
[  5]  25.00-26.00  sec  2.08 MBytes  17.4 Mbits/sec  0.148 ms  220/1726 (13%)  
[  5]  26.00-27.00  sec  2.08 MBytes  17.4 Mbits/sec  0.171 ms  223/1729 (13%)  
[  5]  27.00-28.00  sec  2.08 MBytes  17.4 Mbits/sec  0.230 ms  221/1724 (13%)  
[  5]  28.00-29.00  sec  2.08 MBytes  17.5 Mbits/sec  0.154 ms  220/1726 (13%)  
[  5]  29.00-30.00  sec  2.08 MBytes  17.4 Mbits/sec  0.182 ms  223/1728 (13%)  
[  5]  30.00-31.00  sec  2.08 MBytes  17.4 Mbits/sec  0.240 ms  221/1726 (13%)  
[  5]  31.00-32.00  sec  2.08 MBytes  17.4 Mbits/sec  0.155 ms  220/1725 (13%)  
[  5]  32.00-33.00  sec  2.08 MBytes  17.4 Mbits/sec  0.170 ms  223/1730 (13%)  
[  5]  33.00-34.00  sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  221/1724 (13%)  
[  5]  34.00-35.00  sec  2.08 MBytes  17.4 Mbits/sec  0.160 ms  220/1726 (13%)  
[  5]  35.00-36.00  sec  2.08 MBytes  17.4 Mbits/sec  0.187 ms  223/1729 (13%)  
[  5]  36.00-37.00  sec  2.08 MBytes  17.4 Mbits/sec  0.154 ms  221/1725 (13%)  
[  5]  37.00-38.00  sec  2.08 MBytes  17.4 Mbits/sec  0.169 ms  220/1725 (13%)  
[  5]  38.00-39.00  sec  2.08 MBytes  17.4 Mbits/sec  0.190 ms  223/1729 (13%)  
[  5]  39.00-40.00  sec  2.08 MBytes  17.4 Mbits/sec  0.155 ms  221/1726 (13%)  
[  5]  40.00-41.00  sec  2.08 MBytes  17.4 Mbits/sec  0.173 ms  220/1724 (13%)  
[  5]  41.00-42.00  sec  2.08 MBytes  17.4 Mbits/sec  0.205 ms  223/1729 (13%)  
[  5]  42.00-43.00  sec  2.08 MBytes  17.4 Mbits/sec  0.169 ms  221/1727 (13%)  
[  5]  43.00-44.00  sec  2.08 MBytes  17.4 Mbits/sec  0.194 ms  221/1726 (13%)  
[  5]  44.00-45.00  sec  2.08 MBytes  17.4 Mbits/sec  0.198 ms  222/1727 (13%)  
[  5]  45.00-46.00  sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  221/1727 (13%)  
[  5]  46.0-----------------------------------------------------------
Server listening on 5202 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 38000
[  5] local 192.168.5.2 port 5202 connected to 192.168.4.2 port 56384
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   123 KBytes  1.01 Mbits/sec  0.022 ms  0/87 (0%)  
[  5]   1.00-2.00   sec   122 KBytes   996 Kbits/sec  0.027 ms  0/86 (0%)  
[  5]   2.00-3.00   sec   123 KBytes  1.01 Mbits/sec  0.020 ms  0/87 (0%)  
[  5]   3.00-4.00   sec   122 KBytes   996 Kbits/sec  0.039 ms  0/86 (0%)  
[  5]   4.00-5.00   sec   122 KBytes   996 Kbits/sec  0.076 ms  0/86 (0%)  
[  5]   5.00-6.00   sec   122 KBytes   996 Kbits/sec  0.056 ms  0/86 (0%)  
[  5]   6.00-7.00   sec   123 KBytes  1.01 Mbits/sec  0.025 ms  0/87 (0%)  
