Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 39114
[  5] local 192.168.5.2 port 5201 connected to 192.168.4.2 port 51697
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.07 MBytes  17.4 Mbits/sec  0.320 ms  214/1715 (12%)  
[  5]   1.00-2.00   sec  1.84 MBytes  15.4 Mbits/sec  0.406 ms  395/1727 (23%)  
[  5]   2.00-3.00   sec  1.84 MBytes  15.4 Mbits/sec  0.288 ms  397/1730 (23%)  
[  5]   3.00-4.00   sec  1.84 MBytes  15.4 Mbits/sec  0.318 ms  389/1723 (23%)  
[  5]   4.00-5.00   sec  1.84 MBytes  15.4 Mbits/sec  0.359 ms  393/1724 (23%)  
[  5]   5.00-6.00   sec  1.84 MBytes  15.4 Mbits/sec  0.276 ms  395/1728 (23%)  
[  5]   6.00-7.00   sec  1.84 MBytes  15.5 Mbits/sec  0.337 ms  395/1729 (23%)  
[  5]   7.00-8.00   sec  1.84 MBytes  15.4 Mbits/sec  0.329 ms  392/1723 (23%)  
[  5]   8.00-9.00   sec  1.84 MBytes  15.4 Mbits/sec  0.311 ms  395/1728 (23%)  
[  5]   9.00-10.00  sec  1.84 MBytes  15.4 Mbits/sec  0.394 ms  395/1727 (23%)  
[  5]  10.00-11.00  sec  1.84 MBytes  15.4 Mbits/sec  0.350 ms  392/1724 (23%)  
[  5]  11.00-12.00  sec  1.84 MBytes  15.5 Mbits/sec  0.305 ms  395/1729 (23%)  
[  5]  12.00-13.00  sec  1.84 MBytes  15.4 Mbits/sec  0.445 ms  395/1727 (23%)  
[  5]  13.00-14.00  sec  1.84 MBytes  15.4 Mbits/sec  0.338 ms  392/1725 (23%)  
[  5]  14.00-15.00  sec  1.84 MBytes  15.4 Mbits/sec  0.348 ms  395/1727 (23%)  
[  5]  15.00-16.00  sec  1.84 MBytes  15.4 Mbits/sec  0.404 ms  395/1728 (23%)  
[  5]  16.00-17.00  sec  1.84 MBytes  15.4 Mbits/sec  0.315 ms  392/1723 (23%)  
[  5]  17.00-18.00  sec  1.84 MBytes  15.5 Mbits/sec  0.311 ms  395/1729 (23%)  
[  5]  18.00-19.00  sec  1.84 MBytes  15.4 Mbits/sec  0.394 ms  395/1727 (23%)  
[  5]  19.00-20.00  sec  1.84 MBytes  15.4 Mbits/sec  0.300 ms  392/1725 (23%)  
[  5]  20.00-21.00  sec  1.84 MBytes  15.4 Mbits/sec  0.331 ms  395/1727 (23%)  
[  5]  21.00-22.00  sec  1.84 MBytes  15.4 Mbits/sec  0.394 ms  395/1728 (23%)  
[  5]  22.00-23.00  sec  1.84 MBytes  15.4 Mbits/sec  0.270 ms  392/1724 (23%)  
[  5]  23.00-24.00  sec  1.84 MBytes  15.4 Mbits/sec  0.333 ms  395/1728 (23%)  
[  5]  24.00-25.00  sec  1.84 MBytes  15.4 Mbits/sec  0.341 ms  393/1725 (23%)  
[  5]  25.00-26.00  sec  1.84 MBytes  15.4 Mbits/sec  0.294 ms  394/1727 (23%)  
[  5]  26.00-27.00  sec  1.84 MBytes  15.4 Mbits/sec  0.341 ms  395/1728 (23%)  
[  5]  27.00-28.00  sec  1.84 MBytes  15.4 Mbits/sec  0.373 ms  393/1725 (23%)  
[  5]  28.00-29.00  sec  1.84 MBytes  15.4 Mbits/sec  0.322 ms  395/1728 (23%)  
[  5]  29.00-30.00  sec  1.84 MBytes  15.4 Mbits/sec  0.347 ms  394/1726 (23%)  
[  5]  30.00-31.00  sec  1.84 MBytes  15.4 Mbits/sec  0.306 ms  393/1725 (23%)  
[  5]  31.00-32.00  sec  1.84 MBytes  15.5 Mbits/sec  0.321 ms  395/1729 (23%)  
[  5]  32.00-33.00  sec  1.84 MBytes  15.4 Mbits/sec  0.330 ms  394/1726 (23%)  
[  5]  33.00-34.00  sec  1.84 MBytes  15.4 Mbits/sec  0.373 ms  393/1725 (23%)  
[  5]  34.00-35.00  sec  1.84 MBytes  15.4 Mbits/sec  0.337 ms  395/1728 (23%)  
[  5]  35.00-36.00  sec  1.84 MBytes  15.4 Mbits/sec  0.398 ms  394/1726 (23%)  
[  5]  36.00-37.00  sec  1.84 MBytes  15.4 Mbits/sec  0.367 ms  393/1725 (23%)  
[  5]  37.00-38.00  sec  1.84 MBytes  15.5 Mbits/sec  0.358 ms  395/1729 (23%)  
[  5]  38.00-39.00  sec  1.84 MBytes  15.4 Mbits/sec  0.351 ms  394/1726 (23%)  
[  5]  39.00-40.00  sec  1.84 MBytes  15.4 Mbits/sec  0.311 ms  393/1724 (23%)  
[  5]  40.00-41.00  sec  1.84 MBytes  15.5 Mbits/sec  0.340 ms  395/1729 (23%)  
[  5]  41.00-42.00  sec  1.84 MBytes  15.4 Mbits/sec  0.381 ms  394/1726 (23%)  
[  5]  42.00-43.00  sec  1.84 MBytes  15.4 Mbits/sec  0.310 ms  393/1725 (23%)  
[  5]  43.00-44.00  sec  1.84 MBytes  15.5 Mbits/sec  0.336 ms  394/1729 (23%)  
[  5]  44.00-45.00  sec  1.84 MBytes  15.4 Mbits/sec  0.380 ms  394/1726 (23%)  
[  5]  45.00-46.00  sec  1.84 MBytes  15.4 Mbits/sec  0.303 ms  393/1725 (23%)  
[  5]  46.0-----------------------------------------------------------
Server listening on 5203 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 33754
[  5] local 192.168.5.2 port 5203 connected to 192.168.4.2 port 58993
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec  0.263 ms  0/173 (0%)  
[  5]   1.00-2.00   sec   245 KBytes  2.00 Mbits/sec  0.298 ms  0/173 (0%)  
[  5]   2.00-3.00   sec   243 KBytes  1.99 Mbits/sec  0.242 ms  0/172 (0%)  
[  5]   3.00-4.00   sec   245 KBytes  2.00 Mbits/sec  0.362 ms  0/173 (0%)  
[  5]   4.00-5.00   sec   245 KBytes  2.00 Mbits/sec  0.555 ms  0/173 (0%)  
[  5]   5.00-6.00   sec   243 KBytes  1.99 Mbits/sec  0.424 ms  0/172 (0%)  
[  5]   6.00-7.00   sec   245 KBytes  2.00 Mbits/sec  0.379 ms  0/173 (0%)  
[  5]   7.00-8.00   sec   245 KBytes  2.00 Mbits/sec  0.484 ms  0/173 (0%)  
[  5]   8.00-9.00   sec   243 KBytes  1.99 Mbits/sec  0.266 ms  0/172 (0%)  
[  5]   9.00-10.00  sec   245 KBytes  2.00 Mbits/sec  0.233 ms  0/173 (0%)  
[  5]  10.00-11.00  sec   245 KBytes  2.00 Mbits/sec  0.242 ms  0/173 (0%)  
[  5]  11.00-12.00  sec   243 KBytes  1.99 Mbits/sec  0.235 ms  0/172 (0%)  
[  5]  12.00-13.00  sec   245 KBytes  2.00 Mbits/sec  0.255 ms  0/173 (0%)  
[  5]  13.00-14.00  sec   245 KBytes  2.00 Mbits/sec  0.209 ms  0/173 (0%)  
[  5]  14.00-15.00  sec   243 KBytes  1.99 Mbits/sec  0.262 ms  0/172 (0%)  
[  5]  15.00-16.00  sec   245 KBytes  2.00 Mbits/sec  0.239 ms  0/173 (0%)  
[  5]  16.00-17.00  sec   243 KBytes  1.99 Mbits/sec  0.258 ms  0/172 (0%)  
[  5]  17.00-18.00  sec   245 KBytes  2.00 Mbits/sec  0.227 ms  0/173 (0%)  
[  5]  18.00-19.00  sec   245 KBytes  2.00 Mbits/sec  0.267 ms  0/173 (0%)  
[  5]  19.00-20.00  sec   243 KBytes  1.99 Mbits/sec  0.244 ms  0/172 (0%)  
[  5]  20.00-21.00  sec   245 KBytes  2.00 Mbits/sec  0.259 ms  0/173 (0%)  
[  5]  21.00-22.00  sec   245 KBytes  2.00 Mbits/sec  0.239 ms  0/173 (0%)  
[  5]  22.00-23.00  sec   243 KBytes  1.99 Mbits/sec  0.255 ms  0/172 (0%)  
[  5]  23.00-24.00  sec   245 KBytes  2.00 Mbits/sec  0.281 ms  0/173 (0%)  
[  5]  24.00-25.00  sec   245 KBytes  2.00 Mbits/sec  0.268 ms  0/173 (0%)  
[  5]  25.00-26.00  sec   243 KBytes  1.99 Mbits/sec  0.213 ms  0/172 (0%)  
[  5]  26.00-27.00  sec   245 KBytes  2.00 Mbits/sec  0.277 ms  0/173 (0%)  
[  5]  27.00-28.00  sec   245 KBytes  2.00 Mbits/sec  0.281 ms  0/173 (0%)  
[  5]  28.00-29.00  sec   243 KBytes  1.99 Mbits/sec  0.228 ms  0/172 (0%)  
[  5]  29.00-30.00  sec   245 KBytes  2.00 Mbits/sec  0.242 ms  0/173 (0%)  
[  5]  30.00-31.00  sec   245 KBytes  2.00 Mbits/sec  0.241 ms  0/173 (0%)  
